,Brand,count,Percentage,state,year,quarter
149,Huawei,1559,0.025106691360012003,andaman-&-nicobar-islands,2021,2
150,Apple,1153,0.018568322731298003,andaman-&-nicobar-islands,2021,2
151,Motorola,1054,0.016973991464691,andaman-&-nicobar-islands,2021,2
152,Tecno,974,0.015685642966422,andaman-&-nicobar-islands,2021,2
153,Others,4564,0.07350028182623401,andaman-&-nicobar-islands,2021,2
154,Vivo,16411,0.245006121047445,andaman-&-nicobar-islands,2021,3
155,Xiaomi,15938,0.23794452240900502,andaman-&-nicobar-islands,2021,3
156,Samsung,12028,0.17957063091576803,andaman-&-nicobar-islands,2021,3
157,Oppo,5853,0.087381684631692,andaman-&-nicobar-islands,2021,3
158,Realme,4808,0.07178047833746301,andaman-&-nicobar-islands,2021,3
159,OnePlus,2306,0.034427159535397,andaman-&-nicobar-islands,2021,3
160,Huawei,1567,0.023394344749335,andaman-&-nicobar-islands,2021,3
161,Apple,1283,0.019154399689468003,andaman-&-nicobar-islands,2021,3
162,Tecno,1178,0.017586814368039,andaman-&-nicobar-islands,2021,3
163,Motorola,1017,0.015183183541847,andaman-&-nicobar-islands,2021,3
164,Others,4593,0.06857066077453601,andaman-&-nicobar-islands,2021,3
165,Vivo,17597,0.24515185288381103,andaman-&-nicobar-islands,2021,4
166,Xiaomi,16968,0.23638896628587303,andaman-&-nicobar-islands,2021,4
167,Samsung,12574,0.17517414321538002,andaman-&-nicobar-islands,2021,4
168,Oppo,6127,0.085358038450821,andaman-&-nicobar-islands,2021,4
169,Realme,5830,0.081220395653385,andaman-&-nicobar-islands,2021,4
170,OnePlus,2691,0.037489551407077,andaman-&-nicobar-islands,2021,4
171,Apple,1490,0.020757871273335,andaman-&-nicobar-islands,2021,4
172,Huawei,1459,0.020325996099191,andaman-&-nicobar-islands,2021,4
173,Tecno,1417,0.019740874895514002,andaman-&-nicobar-islands,2021,4
174,Motorola,1055,0.014697687378099001,andaman-&-nicobar-islands,2021,4
175,Others,4572,0.06369462245750901,andaman-&-nicobar-islands,2021,4
176,Vivo,18688,0.24496644295302003,andaman-&-nicobar-islands,2022,1
177,Xiaomi,17957,0.23538433305369102,andaman-&-nicobar-islands,2022,1
178,Samsung,12955,0.16981700922818702,andaman-&-nicobar-islands,2022,1
179,Realme,6769,0.088729551174496,andaman-&-nicobar-islands,2022,1
180,Oppo,6461,0.084692218959731,andaman-&-nicobar-islands,2022,1
181,OnePlus,3005,0.039390205536912005,andaman-&-nicobar-islands,2022,1
182,Tecno,1770,0.023201552013422003,andaman-&-nicobar-islands,2022,1
183,Apple,1634,0.021418833892617003,andaman-&-nicobar-islands,2022,1
184,Huawei,1441,0.018888947147651002,andaman-&-nicobar-islands,2022,1
185,Motorola,1050,0.013763632550335001,andaman-&-nicobar-islands,2022,1
186,Others,4558,0.059747273489932,andaman-&-nicobar-islands,2022,1
187,Xiaomi,836581,0.250739858232552,andhra-pradesh,2018,1
188,Samsung,683687,0.20491450493788302,andhra-pradesh,2018,1
189,Vivo,425959,0.127668330111345,andhra-pradesh,2018,1
190,Oppo,304487,0.091260771178947,andhra-pradesh,2018,1
191,Realme,236646,0.07092748280357801,andhra-pradesh,2018,1
192,Motorola,129739,0.038885342205038004,andhra-pradesh,2018,1
193,OnePlus,129421,0.038790031320715006,andhra-pradesh,2018,1
194,Apple,123274,0.036947653943562,andhra-pradesh,2018,1
195,Lenovo,84138,0.025217821337049,andhra-pradesh,2018,1
196,Huawei,76654,0.022974718638073002,andhra-pradesh,2018,1
197,Others,305864,0.09167348529125201,andhra-pradesh,2018,1
198,Xiaomi,1113800,0.252990319224811,andhra-pradesh,2018,2
199,Samsung,903290,0.20517474003643302,andhra-pradesh,2018,2
200,Vivo,586965,0.13332417195528,andhra-pradesh,2018,2
201,Oppo,410549,0.093252758634788,andhra-pradesh,2018,2
202,Realme,305964,0.069497153915694,andhra-pradesh,2018,2
203,Motorola,169847,0.038579320119749,andhra-pradesh,2018,2
204,OnePlus,155418,0.035301893906699,andhra-pradesh,2018,2
205,Apple,151847,0.034490771236604004,andhra-pradesh,2018,2
206,Lenovo,107441,0.024404321141886003,andhra-pradesh,2018,2
207,Huawei,102929,0.023379458221844,andhra-pradesh,2018,2
208,Others,394490,0.08960509160620901,andhra-pradesh,2018,2
209,Xiaomi,1385112,0.25519707820209103,andhra-pradesh,2018,3
210,Samsung,1103186,0.20325420898342603,andhra-pradesh,2018,3
211,Vivo,761793,0.140354966092854,andhra-pradesh,2018,3
212,Oppo,518120,0.09545994125967201,andhra-pradesh,2018,3
213,Realme,379712,0.069959247308717,andhra-pradesh,2018,3
214,Motorola,203756,0.037540600230266,andhra-pradesh,2018,3
215,OnePlus,181364,0.033415032785106005,andhra-pradesh,2018,3
216,Apple,175343,0.032305706169024,andhra-pradesh,2018,3
217,Huawei,134429,0.024767591375736003,andhra-pradesh,2018,3
218,Lenovo,122489,0.022567730921323,andhra-pradesh,2018,3
219,Others,462313,0.08517789667178001,andhra-pradesh,2018,3
220,Xiaomi,1753802,0.25575286525858304,andhra-pradesh,2018,4
221,Samsung,1388061,0.20241770616277902,andhra-pradesh,2018,4
222,Vivo,1011185,0.147458755923702,andhra-pradesh,2018,4
223,Oppo,675093,0.09844724151643801,andhra-pradesh,2018,4
224,Realme,476746,0.069522759981211,andhra-pradesh,2018,4
225,Motorola,250601,0.036544560780901,andhra-pradesh,2018,4
226,OnePlus,210161,0.030647289668736002,andhra-pradesh,2018,4
227,Apple,209737,0.030585458735216002,andhra-pradesh,2018,4
228,Huawei,176237,0.025700231676424,andhra-pradesh,2018,4
229,Lenovo,149583,0.021813340869707,andhra-pradesh,2018,4
230,Others,556203,0.08110978942629701,andhra-pradesh,2018,4
231,Xiaomi,2110547,0.25480407566371605,andhra-pradesh,2019,1
232,Samsung,1688342,0.20383171884550702,andhra-pradesh,2019,1
233,Vivo,1262871,0.152465061350215,andhra-pradesh,2019,1
234,Oppo,835541,0.10087396877877401,andhra-pradesh,2019,1
235,Realme,564832,0.068191561555032,andhra-pradesh,2019,1
236,Motorola,291830,0.035232322900623,andhra-pradesh,2019,1
237,Apple,241108,0.029108710242002,andhra-pradesh,2019,1
238,OnePlus,237269,0.028645231889483,andhra-pradesh,2019,1
239,Huawei,220082,0.02657026381323,andhra-pradesh,2019,1
240,Lenovo,171471,0.020701509920477,andhra-pradesh,2019,1
241,Others,659126,0.079575575040936,andhra-pradesh,2019,1
242,Xiaomi,2389374,0.25448644547243104,andhra-pradesh,2019,2
243,Samsung,1914378,0.203895770402885,andhra-pradesh,2019,2
244,Vivo,1466695,0.156214136900371,andhra-pradesh,2019,2
245,Oppo,963352,0.102604291424765,andhra-pradesh,2019,2
246,Realme,641519,0.06832663702418601,andhra-pradesh,2019,2
247,Motorola,324778,0.034591319227398006,andhra-pradesh,2019,2
248,Apple,264860,0.028209597973288,andhra-pradesh,2019,2
249,OnePlus,254273,0.027082002210458003,andhra-pradesh,2019,2
250,Huawei,250859,0.026718385328026003,andhra-pradesh,2019,2
251,Lenovo,189151,0.020146015503456002,andhra-pradesh,2019,2
252,Others,729764,0.07772539853273,andhra-pradesh,2019,2
253,Xiaomi,2656468,0.25399617332682,andhra-pradesh,2019,3
254,Samsung,2123659,0.203052044839637,andhra-pradesh,2019,3
255,Vivo,1674109,0.16006866249922402,andhra-pradesh,2019,3
256,Oppo,1087660,0.103995786089141,andhra-pradesh,2019,3
257,Realme,727964,0.069603725819277,andhra-pradesh,2019,3
258,Motorola,348910,0.033360765059266,andhra-pradesh,2019,3
259,Apple,286412,0.027385066183700003,andhra-pradesh,2019,3
260,Huawei,282587,0.027019341709332,andhra-pradesh,2019,3
261,OnePlus,271100,0.025921020915328,andhra-pradesh,2019,3
262,Lenovo,194180,0.018566373446471003,andhra-pradesh,2019,3
263,Others,805644,0.07703104011179901,andhra-pradesh,2019,3
264,Xiaomi,2985953,0.25395328393725203,andhra-pradesh,2019,4
265,Samsung,2379139,0.20234416348589201,andhra-pradesh,2019,4
266,Vivo,1922141,0.16347679254845401,andhra-pradesh,2019,4
267,Oppo,1241235,0.10556619758846,andhra-pradesh,2019,4
268,Realme,844668,0.07183844234544601,andhra-pradesh,2019,4
269,Motorola,381692,0.032462646549553005,andhra-pradesh,2019,4
270,Huawei,317290,0.026985299989802,andhra-pradesh,2019,4
271,Apple,308354,0.026225299231162003,andhra-pradesh,2019,4
272,OnePlus,286412,0.024359146965486002,andhra-pradesh,2019,4
273,Lenovo,208785,0.017757023096759,andhra-pradesh,2019,4
274,Others,882214,0.075031704261728,andhra-pradesh,2019,4
275,Xiaomi,3307542,0.25399529721104,andhra-pradesh,2020,1
276,Samsung,2622762,0.20140914724705603,andhra-pradesh,2020,1
277,Vivo,2165012,0.16625725883615902,andhra-pradesh,2020,1
278,Oppo,1387060,0.106516173324343,andhra-pradesh,2020,1
279,Realme,960418,0.07375315426284301,andhra-pradesh,2020,1
280,Motorola,411062,0.031566587774898,andhra-pradesh,2020,1
281,Huawei,348324,0.026748763252511003,andhra-pradesh,2020,1
282,Apple,329329,0.025290084671703003,andhra-pradesh,2020,1
283,OnePlus,298911,0.022954202330506,andhra-pradesh,2020,1
284,Lenovo,227154,0.01744378385601,andhra-pradesh,2020,1
285,Others,964486,0.07406554723292601,andhra-pradesh,2020,1
286,Xiaomi,3635594,0.253888024693297,andhra-pradesh,2020,2
287,Samsung,2888149,0.201690960164947,andhra-pradesh,2020,2
288,Vivo,2409399,0.16825793881495202,andhra-pradesh,2020,2
289,Oppo,1535129,0.107204178865791,andhra-pradesh,2020,2
290,Realme,1072165,0.07487355683700901,andhra-pradesh,2020,2
291,Motorola,445380,0.031102661198665,andhra-pradesh,2020,2
292,Huawei,379220,0.026482444608554003,andhra-pradesh,2020,2
293,Apple,348938,0.024367731809555003,andhra-pradesh,2020,2
294,OnePlus,309208,0.021593227499925,andhra-pradesh,2020,2
295,Lenovo,243288,0.016989771066731,andhra-pradesh,2020,2
296,Others,1053205,0.073549504440568,andhra-pradesh,2020,2
297,Xiaomi,3978789,0.25354870716120304,andhra-pradesh,2020,3
298,Samsung,3154020,0.20099022425179502,andhra-pradesh,2020,3
299,Vivo,2687996,0.17129280056180002,andhra-pradesh,2020,3
300,Oppo,1695723,0.10806010933314501,andhra-pradesh,2020,3
301,Realme,1207622,0.07695582671999601,andhra-pradesh,2020,3
302,Motorola,477313,0.030416816287879,andhra-pradesh,2020,3
303,Huawei,408520,0.026032975824929003,andhra-pradesh,2020,3
304,Apple,370327,0.023599123270142002,andhra-pradesh,2020,3
305,OnePlus,322028,0.020521264904901002,andhra-pradesh,2020,3
306,Lenovo,260912,0.016626641996558,andhra-pradesh,2020,3
307,Others,1129155,0.07195550968764801,andhra-pradesh,2020,3
308,Xiaomi,4325662,0.253309843050988,andhra-pradesh,2020,4
309,Samsung,3419866,0.200266622707786,andhra-pradesh,2020,4
310,Vivo,2950572,0.17278486627726303,andhra-pradesh,2020,4
311,Oppo,1856052,0.10869000879275101,andhra-pradesh,2020,4
312,Realme,1361491,0.079728622237551,andhra-pradesh,2020,4
313,Motorola,506158,0.029640504398864002,andhra-pradesh,2020,4
314,Huawei,437125,0.025597946659647004,andhra-pradesh,2020,4
315,Apple,394191,0.023083740787447002,andhra-pradesh,2020,4
316,OnePlus,336518,0.019706422222502,andhra-pradesh,2020,4
317,Lenovo,276671,0.016201794681775,andhra-pradesh,2020,4
318,Others,1212259,0.070989628183419,andhra-pradesh,2020,4
319,Xiaomi,4644641,0.252924664064762,andhra-pradesh,2021,1
320,Samsung,3635596,0.19797695817075903,andhra-pradesh,2021,1
321,Vivo,3245151,0.17671521362241502,andhra-pradesh,2021,1
322,Oppo,2010506,0.10948242386229401,andhra-pradesh,2021,1
323,Realme,1531645,0.083405971977484,andhra-pradesh,2021,1
324,Motorola,518115,0.028214034695451,andhra-pradesh,2021,1
325,Huawei,455604,0.024809988252388,andhra-pradesh,2021,1
326,Apple,421002,0.022925730841327003,andhra-pradesh,2021,1
327,OnePlus,355922,0.019381789094842002,andhra-pradesh,2021,1
328,Lenovo,277980,0.015137445093543,andhra-pradesh,2021,1
329,Others,1267571,0.06902578032473,andhra-pradesh,2021,1
330,Xiaomi,4937684,0.251654243267576,andhra-pradesh,2021,2
331,Samsung,3798250,0.193581794519671,andhra-pradesh,2021,2
332,Vivo,3572140,0.18205786124544202,andhra-pradesh,2021,2
333,Oppo,2173037,0.110751109594588,andhra-pradesh,2021,2
334,Realme,1817804,0.092646287212541,andhra-pradesh,2021,2
335,Motorola,503072,0.025639592057552,andhra-pradesh,2021,2
336,Apple,450689,0.022969837527881003,andhra-pradesh,2021,2
337,Huawei,440324,0.022441574432983002,andhra-pradesh,2021,2
338,OnePlus,394851,0.020123995299910002,andhra-pradesh,2021,2
339,Lenovo,261201,0.013312382889576,andhra-pradesh,2021,2
340,Others,1271853,0.06482132195227401,andhra-pradesh,2021,2
341,Xiaomi,5256707,0.24960742924775803,andhra-pradesh,2021,3
342,Vivo,3981492,0.18905561650868302,andhra-pradesh,2021,3
343,Samsung,3911188,0.1857173287354,andhra-pradesh,2021,3
344,Oppo,2382363,0.113123197462779,andhra-pradesh,2021,3
345,Realme,2134616,0.10135927533932,andhra-pradesh,2021,3
346,Motorola,486971,0.023123141432118,andhra-pradesh,2021,3
347,Apple,480993,0.022839284406790002,andhra-pradesh,2021,3
348,OnePlus,459011,0.021795499674309,andhra-pradesh,2021,3
349,Huawei,435214,0.020665532188237003,andhra-pradesh,2021,3
350,Lenovo,245241,0.011644928194808,andhra-pradesh,2021,3
351,Others,1286102,0.061068766809791,andhra-pradesh,2021,3
